[2016-02-20 16:10:16.029] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-09
[2016-02-20 16:10:16.029] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-08
[2016-02-20 16:10:16.029] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-05
[2016-02-20 16:10:16.029] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-04
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-03
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-02
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-12-01
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-28
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-26
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-25
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-24
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-21
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-20
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-19
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-18
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-17
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-14
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-13
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-12
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-11
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-10
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-07
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-06
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-05
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-04
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-11-03
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-31
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-30
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-29
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-28
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-27
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-24
[2016-02-20 16:10:16.030] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-23
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-22
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-21
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-20
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-17
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-16
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-15
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-14
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-13
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-10
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-09
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-08
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-07
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-06
[2016-02-20 16:10:16.031] [TRACE] file-logger - processing: [CH2015.json] for date: 2014-10-03
